iter	Passed	Remaining
0	0	54
1	0	46
2	1	44
3	1	40
4	2	40
5	2	40
6	3	40
7	3	40
8	3	40
9	4	39
10	4	38
11	5	37
12	5	36
13	5	35
14	6	34
15	6	34
16	6	33
17	7	32
18	7	31
19	7	31
20	8	30
21	8	30
22	8	29
23	9	29
24	9	28
25	9	28
26	10	27
27	10	27
28	10	26
29	11	26
30	11	25
31	12	25
32	12	25
33	13	25
34	13	24
35	13	24
36	14	23
37	14	23
38	14	22
39	15	22
40	15	22
41	15	21
42	15	20
43	16	20
44	16	20
45	16	19
46	17	19
47	17	18
48	17	18
49	18	18
50	18	17
51	18	17
52	19	17
53	19	16
54	19	16
55	20	15
56	20	15
57	20	15
58	21	14
59	21	14
60	21	13
61	22	13
62	22	13
63	22	12
64	23	12
65	23	12
66	23	11
67	24	11
68	24	11
69	24	10
70	25	10
71	25	9
72	25	9
73	26	9
74	26	8
75	26	8
76	27	8
77	27	7
78	28	7
79	28	7
80	28	6
81	29	6
82	29	6
83	29	5
84	30	5
85	30	4
86	30	4
87	31	4
88	32	3
89	32	3
90	33	3
91	33	2
92	34	2
93	34	2
94	34	1
95	35	1
96	35	1
97	36	0
98	36	0
99	37	0
