iter	Passed	Remaining
0	54	54345
1	54	27426
2	55	18429
3	55	13935
4	56	11217
5	56	9421
6	57	8135
7	57	7170
8	58	6415
9	58	5822
10	59	5330
11	59	4928
12	60	4577
13	60	4278
14	61	4015
15	61	3794
16	62	3591
17	62	3412
18	62	3252
19	63	3109
20	64	2990
21	64	2871
22	65	2763
23	65	2663
24	65	2569
25	66	2483
26	66	2409
27	67	2339
28	67	2269
29	68	2205
30	68	2146
31	69	2092
32	69	2039
33	70	1988
34	70	1944
35	70	1898
36	71	1858
37	71	1818
38	72	1782
39	72	1748
40	73	1715
41	73	1683
42	74	1654
43	74	1624
44	75	1595
45	75	1569
46	76	1542
47	76	1517
48	76	1493
49	77	1470
50	77	1448
51	78	1428
52	78	1407
53	79	1388
54	79	1370
55	80	1351
56	80	1334
57	81	1319
58	81	1302
59	82	1288
60	82	1271
61	83	1257
62	83	1243
63	84	1228
64	84	1214
65	84	1201
66	85	1188
67	85	1178
68	86	1166
69	86	1153
70	87	1144
71	87	1132
72	88	1122
73	88	1111
74	89	1100
75	89	1091
76	90	1080
77	90	1070
78	91	1061
79	91	1052
80	92	1044
81	92	1034
82	92	1024
83	93	1015
84	93	1007
85	94	1000
86	94	991
87	94	984
88	95	978
89	96	974
90	96	968
91	97	962
92	98	957
93	98	952
94	99	947
95	100	943
96	100	938
97	101	934
98	102	929
99	102	923
100	103	918
101	103	913
102	104	909
103	105	905
104	106	904
105	106	900
106	107	896
107	108	892
108	108	887
109	109	883
110	109	878
111	110	873
112	110	867
113	111	862
114	111	857
115	111	851
116	112	845
117	112	841
118	113	837
119	113	834
120	114	833
121	115	829
122	115	825
123	116	822
124	117	819
125	117	815
126	118	812
127	118	809
128	120	814
129	121	813
130	122	810
131	122	806
132	123	803
133	123	800
134	124	797
135	124	794
136	125	790
137	126	787
138	126	784
139	127	781
140	128	780
141	128	775
142	128	772
143	129	770
144	130	768
145	130	765
146	131	763
147	131	759
148	132	756
149	133	753
150	133	750
151	134	747
152	134	744
153	134	741
154	135	738
155	135	734
156	136	731
157	136	728
158	137	724
159	137	721
160	137	717
161	138	714
162	138	711
163	138	708
164	139	704
165	139	701
166	140	698
167	140	695
168	141	694
169	141	692
170	142	689
171	142	686
172	143	684
173	143	682
174	144	680
175	144	677
176	145	675
177	145	672
178	146	669
179	146	667
180	146	664
181	147	661
182	147	658
183	147	656
184	148	653
185	148	650
186	149	647
187	149	645
188	149	642
189	150	640
190	150	637
191	150	634
192	151	632
193	151	630
194	152	627
195	152	625
196	152	622
197	153	620
198	153	618
199	154	616
200	154	615
201	155	613
202	155	610
203	155	608
204	156	606
205	156	603
206	157	601
207	157	599
208	157	596
209	158	594
210	158	592
211	158	590
212	159	587
213	159	585
214	159	583
215	160	581
216	160	578
217	160	576
218	161	574
219	161	572
220	161	570
221	162	568
222	162	565
223	162	563
224	163	561
225	163	559
226	163	557
227	163	555
228	164	553
229	164	551
230	164	549
231	165	547
232	165	545
233	165	543
234	166	541
235	166	540
236	167	538
237	167	537
238	168	535
239	168	533
240	168	531
241	169	530
242	169	528
243	170	527
244	170	525
245	171	524
246	171	523
247	172	522
248	172	520
249	173	519
250	173	518
251	174	517
252	174	515
253	175	514
254	175	512
255	175	511
256	176	510
257	176	508
258	177	507
259	177	505
260	178	504
261	178	502
262	178	501
263	179	500
264	179	498
265	180	497
266	180	496
267	181	495
268	182	494
269	182	493
270	183	492
271	183	491
272	183	489
273	184	488
274	184	487
275	185	485
276	185	484
277	185	482
278	186	481
279	186	480
280	187	478
281	187	476
282	187	475
283	187	473
284	188	472
285	188	470
286	188	469
287	189	467
288	189	466
289	189	464
290	190	463
291	190	461
292	190	460
293	191	458
294	191	457
295	191	456
296	192	455
297	192	454
298	193	453
299	193	452
300	194	450
301	194	449
302	195	448
303	195	447
304	195	446
305	196	445
306	196	443
307	196	442
308	197	441
309	197	439
310	197	438
311	198	437
312	198	436
313	199	435
314	199	433
315	199	432
316	200	431
317	200	430
318	200	428
319	201	427
320	201	426
321	201	424
322	202	423
323	202	422
324	202	421
325	203	419
326	203	418
327	203	417
328	204	416
329	204	415
330	204	414
331	205	412
332	205	411
333	205	410
334	206	409
335	206	408
336	207	407
337	207	406
338	208	406
339	208	405
340	209	404
341	209	403
342	209	401
343	210	400
344	210	399
345	210	398
346	211	397
347	211	396
348	212	395
349	212	394
350	212	393
351	213	392
352	213	391
353	214	390
354	214	389
355	214	388
356	215	387
357	215	386
358	215	385
359	216	384
360	216	383
361	217	382
362	217	381
363	217	380
364	218	379
365	218	378
366	218	377
367	219	376
368	219	376
369	220	375
370	220	374
371	221	373
372	221	372
373	222	371
374	222	370
375	222	370
376	223	369
377	223	368
378	224	367
379	224	366
380	225	365
381	225	364
382	225	363
383	226	362
384	226	361
385	227	361
386	227	360
387	227	359
388	228	358
389	228	357
390	228	356
391	229	355
392	229	354
393	229	353
394	230	352
395	230	351
396	230	350
397	231	349
398	231	348
399	231	347
400	232	347
401	232	346
402	233	345
403	233	344
404	234	343
405	234	343
406	234	342
407	235	341
408	235	340
409	235	339
410	236	338
411	236	337
412	237	336
413	237	336
414	237	335
415	238	334
416	238	333
417	238	332
418	239	331
419	239	330
420	239	329
421	240	329
422	240	328
423	241	327
424	241	327
425	242	326
426	243	326
427	243	326
428	244	325
429	244	324
430	245	324
431	246	323
432	246	323
433	247	322
434	247	321
435	248	321
436	249	320
437	249	320
438	250	319
439	250	318
440	250	318
441	251	317
442	251	316
443	252	315
444	252	314
445	252	314
446	253	313
447	253	312
448	253	311
449	254	310
450	254	309
451	254	308
452	255	308
453	255	307
454	256	306
455	256	305
456	256	305
457	257	304
458	257	303
459	257	302
460	258	301
461	258	301
462	259	300
463	260	300
464	260	299
465	261	299
466	261	298
467	261	297
468	262	296
469	262	295
470	262	295
471	263	294
472	263	293
473	264	293
474	264	292
475	264	291
476	265	290
477	265	289
478	265	289
479	266	288
480	266	287
481	266	286
482	267	285
483	267	285
484	267	284
485	268	283
486	268	282
487	268	282
488	269	281
489	269	280
490	269	279
491	270	279
492	270	278
493	271	278
494	272	277
495	272	277
496	273	276
497	274	276
498	274	275
499	274	274
500	275	274
501	275	273
502	276	272
503	276	272
504	276	271
505	277	270
506	277	269
507	278	269
508	278	268
509	278	267
510	278	266
511	279	266
512	279	265
513	280	265
514	280	264
515	281	263
516	281	262
517	281	262
518	282	261
519	282	260
520	282	260
521	283	259
522	284	259
523	284	258
524	285	258
525	285	257
526	286	256
527	286	256
528	287	255
529	287	254
530	287	254
531	288	253
532	288	252
533	289	252
534	289	251
535	289	250
536	290	250
537	290	249
538	290	248
539	291	248
540	291	247
541	292	246
542	292	246
543	292	245
544	293	244
545	293	244
546	294	243
547	294	242
548	294	242
549	295	241
550	295	241
551	296	240
552	296	239
553	297	239
554	298	239
555	298	238
556	299	238
557	299	237
558	300	236
559	300	236
560	301	235
561	301	235
562	302	234
563	302	233
564	302	233
565	303	232
566	303	231
567	304	231
568	304	230
569	304	230
570	305	229
571	305	228
572	305	228
573	306	227
574	306	226
575	307	226
576	307	225
577	307	224
578	308	224
579	308	223
580	308	222
581	309	222
582	309	221
583	310	221
584	310	220
585	311	219
586	311	219
587	312	218
588	312	218
589	313	217
590	313	216
591	313	216
592	314	215
593	314	215
594	315	214
595	315	213
596	315	213
597	316	212
598	316	212
599	317	211
600	317	210
601	317	210
602	318	209
603	318	208
604	318	208
605	319	207
606	319	206
607	320	206
608	320	205
609	320	205
610	321	204
611	321	203
612	321	203
613	322	202
614	322	202
615	323	201
616	323	201
617	324	200
618	324	199
619	325	199
620	325	198
621	326	198
622	326	197
623	327	197
624	327	196
625	327	195
626	328	195
627	328	194
628	329	194
629	329	193
630	329	192
631	330	192
632	330	191
633	330	191
634	331	190
635	331	189
636	331	189
637	332	188
638	332	187
639	332	187
640	333	186
641	333	185
642	333	185
643	334	184
644	334	184
645	335	183
646	335	182
647	335	182
648	336	181
649	336	181
650	336	180
651	337	180
652	337	179
653	338	178
654	338	178
655	339	177
656	340	177
657	340	177
658	341	176
659	341	175
660	341	175
661	342	174
662	342	174
663	342	173
664	343	172
665	343	172
666	343	171
667	344	171
668	344	170
669	344	169
670	345	169
671	345	168
672	345	168
673	346	167
674	346	166
675	346	166
676	347	165
677	347	164
678	347	164
679	348	163
680	348	163
681	348	162
682	349	162
683	349	161
684	349	160
685	350	160
686	350	159
687	351	159
688	351	158
689	352	158
690	352	157
691	352	157
692	353	156
693	353	155
694	354	155
695	354	154
696	354	154
697	355	153
698	355	153
699	356	152
700	356	152
701	356	151
702	357	151
703	357	150
704	358	149
705	358	149
706	359	148
707	359	148
708	359	147
709	360	147
710	360	146
711	360	145
712	361	145
713	361	144
714	361	144
715	362	143
716	362	143
717	363	142
718	363	142
719	364	141
720	364	141
721	365	140
722	365	140
723	366	139
724	366	138
725	366	138
726	367	137
727	367	137
728	367	136
729	368	136
730	368	135
731	369	135
732	369	134
733	369	134
734	370	133
735	370	132
736	370	132
737	371	131
738	371	131
739	371	130
740	372	130
741	372	129
742	373	129
743	373	128
744	374	128
745	374	127
746	375	127
747	375	126
748	375	125
749	376	125
750	376	124
751	377	124
752	377	123
753	378	123
754	378	122
755	379	122
756	379	121
757	380	121
758	380	120
759	380	120
760	381	119
761	381	119
762	382	118
763	382	118
764	382	117
765	383	117
766	383	116
767	383	115
768	384	115
769	384	114
770	384	114
771	385	113
772	385	113
773	386	112
774	386	112
775	386	111
776	387	111
777	387	110
778	387	110
779	388	109
780	388	108
781	389	108
782	389	108
783	390	107
784	390	106
785	391	106
786	391	105
787	392	105
788	392	104
789	392	104
790	393	103
791	393	103
792	394	102
793	394	102
794	395	101
795	395	101
796	395	100
797	396	100
798	396	99
799	396	99
800	397	98
